Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\xSequenceTrain_34.flac,x,2,Green,2,Green,1,0.686081899999408,0,0,182525.9791688,182527.732336,182528.3201842,182529.0062661,consistent
practice,1,2,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\bSequenceTrain_34.flac,b,3,Blue,3,Blue,1,0.584679899999173,0,0,182530.2428532,182531.7700043,182532.352657,182532.9373369,consistent
practice,1,3,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\aSequenceTrain_34.flac,a,1,Yellow,1,Yellow,1,0.378161900007399,0,0,182534.1766827,182535.7041033,182536.2877384,182536.6659003,consistent
practice,1,4,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\xSequenceTrain_33.flac,x,2,Green,2,Green,1,0.393724199995631,0,0,182537.8645807,182539.393793,182539.988837,182540.3825612,consistent
practice,1,5,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\ySequenceTrain_34.flac,y,4,Red,4,Red,1,0.353130500006955,0,0,182541.6401057,182543.1652829,182543.7532267,182544.1063572,consistent
practice,1,6,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\bSequenceTrain_33.flac,b,3,Blue,3,Blue,1,0.44727140001487,0,0,182545.321028,182546.8454022,182547.4402201,182547.8874915,consistent
practice,1,7,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\aSequenceTrain_33.flac,a,1,Yellow,1,Yellow,1,0.368739400000777,0,0,182549.1100678,182550.6366717,182551.2206271,182551.5893665,consistent
practice,1,8,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\flac_practice\ySequenceTrain_33.flac,y,4,Red,4,Red,1,0.333385200006887,0,0,182552.8160561,182554.3423779,182554.936203,182555.2695882,consistent
task,1,1,NaN,ySequenceTrain_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\ySequenceTrain_12.flac,y,4,Red,4,Red,1,0.34819950000383,0,0,182559.0494538,182560.5783861,182561.1702328,182561.5184323,consistent
task,1,2,NaN,xSequenceTrain_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_task\xSequenceTrain_3.flac,x,2,Green,2,Green,1,0.403806600021198,0,0,182562.7357543,182564.2664372,182564.8536139,182565.2574205,consistent
