Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,4,Red,4,Red,1,0.433897999988403,0,0,396501.6222253,396503.3460885,396503.6849319,396504.1188299,consistent
practice,1,2,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,2,Green,2,Green,1,0.491287700016983,0,0,396505.3358396,396506.8646001,396507.2017533,396507.693041,consistent
practice,1,3,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,3,Blue,3,Blue,1,1.06003409996629,0,0,396508.9194506,396510.4390715,396510.783592,396511.8436261,consistent
practice,1,4,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,3,Blue,3,Blue,1,0.598641199991107,0,0,396513.0304352,396514.560046,396514.9038226,396515.5024638,consistent
practice,1,5,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,4,Red,4,Red,1,0.474154099996667,0,0,396516.7192636,396518.2503906,396518.5860282,396519.0601823,consistent
practice,1,6,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,1,Yellow,1,Yellow,1,0.652841300005093,0,0,396520.2679125,396521.7965585,396522.1356506,396522.7884919,consistent
practice,1,7,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,1,Yellow,1,Yellow,1,0.61441909999121,0,0,396524.04106,396525.5697679,396525.9023621,396526.5167812,consistent
practice,1,8,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,2,Green,2,Green,1,0.660336799977813,0,0,396527.7440074,396529.2761103,396529.6157963,396530.2761331,consistent
task,1,1,NaN,ySequenceTrain_6.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\ySequenceTrain_6.flac,y,2,Green,2,Green,1,0.861657900037244,0,0,396536.832091,396538.3717565,396538.7195507,396539.5812086,consistent
task,1,2,NaN,aSequenceTrain_7.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\aSequenceTrain_7.flac,a,3,Blue,3,Blue,1,0.722681000013836,0,0,396540.8123149,396542.3424798,396542.682722,396543.405403,consistent
task,2,1,NaN,ySequenceTrain_23.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\ySequenceTrain_23.flac,y,2,Green,2,Green,1,0.547886200016364,0,0,396549.0216084,396550.5573583,396550.9050711,396551.4529573,consistent
task,2,2,NaN,ySequenceTrain_17.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\ySequenceTrain_17.flac,y,2,Green,2,Green,1,0.440361999964807,0,0,396552.6760988,396554.2003143,396554.532108,396554.97247,consistent
task,3,1,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\xSequenceTrain_33.flac,x,4,Red,4,Red,1,0.365119200025219,0,0,396558.6115029,396560.133357,396560.4707682,396560.8358874,consistent
task,3,2,NaN,xSequenceTrain_31.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\xSequenceTrain_31.flac,x,4,Red,4,Red,1,0.379907800001092,0,0,396562.065894,396563.5953169,396563.938779,396564.3186868,consistent
task,4,1,NaN,ySequenceTrain_11.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\ySequenceTrain_11.flac,y,2,Green,2,Green,1,0.626305599987973,0,0,396569.8906147,396571.4242446,396571.7709673,396572.3972729,consistent
task,4,2,NaN,ySequenceTrain_1.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\ySequenceTrain_1.flac,y,2,Green,2,Green,1,0.423425999993924,0,0,396573.6277885,396575.1602672,396575.5006402,396575.9240662,consistent
task,5,1,NaN,bSequenceTrain_21.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\bSequenceTrain_21.flac,b,1,Yellow,2,Green,0,0.759506899979897,0,0,396579.3716902,396580.9061791,396581.254047,396582.0135539,consistent
task,5,2,NaN,ySequenceTrain_24.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\ySequenceTrain_24.flac,y,2,Green,4,Red,0,0.508206400030758,0,0,396583.255049,396584.7807529,396585.1206799,396585.6288863,consistent
task,6,1,NaN,aSequenceTrain_30.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\aSequenceTrain_30.flac,a,3,Blue,3,Blue,1,0.58440839999821,0,0,396588.7143166,396590.2435966,396590.5874225,396591.1718309,consistent
