Timestamp_s,Phase,Block,TrialInBlock,Event,Red,Green,Blue,Source
362421.5675014,practice,1,1,trial_onset,16,0,0,simulated
362424.2917338,practice,1,1,response_onset,16,0,0,simulated
362424.8665982,practice,1,1,response_press,0,16,0,simulated
362426.0851539,practice,1,2,trial_onset,16,0,0,simulated
362428.7925043,practice,1,2,response_onset,16,0,0,simulated
362429.4268445,practice,1,2,response_press,0,64,0,simulated
362430.6587451,practice,1,3,trial_onset,16,0,0,simulated
362433.3760411,practice,1,3,response_onset,16,0,0,simulated
362433.744717,practice,1,3,response_press,0,16,0,simulated
362434.9451424,practice,1,4,trial_onset,16,0,0,simulated
362437.6579347,practice,1,4,response_onset,16,0,0,simulated
362438.1589746,practice,1,4,response_press,0,128,0,simulated
362439.3660177,practice,1,5,trial_onset,16,0,0,simulated
362442.0759973,practice,1,5,response_onset,16,0,0,simulated
362442.696968,practice,1,5,response_press,0,128,0,simulated
362443.9437708,practice,1,6,trial_onset,16,0,0,simulated
362446.6596422,practice,1,6,response_onset,16,0,0,simulated
362447.272665,practice,1,6,response_press,0,64,0,simulated
362448.4981295,practice,1,7,trial_onset,16,0,0,simulated
362451.228682,practice,1,7,response_onset,16,0,0,simulated
362451.6247635,practice,1,7,response_press,0,32,0,simulated
362452.8547614,practice,1,8,trial_onset,16,0,0,simulated
362455.55901,practice,1,8,response_onset,16,0,0,simulated
362455.9909432,practice,1,8,response_press,0,32,0,simulated
