Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
practice,1,1,NaN,bSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_34.flac,b,1,Yellow,1,Yellow,1,0.444869500002824,0,0,376816.6732735,376818.4373398,376819.6270385,376820.071908,consistent
practice,1,2,NaN,ySequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_33.flac,y,2,Green,2,Green,1,0.412462999986019,0,0,376821.3069217,376822.841472,376824.0255398,376824.4380028,consistent
practice,1,3,NaN,bSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\bSequenceTrain_33.flac,b,1,Yellow,1,Yellow,1,0.455030300014187,0,0,376825.699443,376827.2279682,376828.4063503,376828.8613806,consistent
practice,1,4,NaN,aSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_34.flac,a,3,Blue,3,Blue,1,0.582013499981258,0,0,376830.1232637,376831.6507745,376832.8394029,376833.4214164,consistent
practice,1,5,NaN,ySequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\ySequenceTrain_34.flac,y,2,Green,2,Green,1,0.405799899948761,0,0,376834.7102755,376836.236691,376837.4240569,376837.8298568,consistent
practice,1,6,NaN,xSequenceTrain_34.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_34.flac,x,4,Red,4,Red,1,0.381099299993366,0,0,376839.0923062,376840.6160083,376841.8079651,376842.1890644,consistent
practice,1,7,NaN,aSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\aSequenceTrain_33.flac,a,3,Blue,3,Blue,1,0.433808100002352,0,0,376843.4492097,376844.9795132,376846.1732722,376846.6070803,consistent
practice,1,8,NaN,xSequenceTrain_33.flac,D:\Matlab_projects\SMART\SMART_game\t268529-v14-assets_practice\xSequenceTrain_33.flac,x,4,Red,4,Red,1,0.40131470002234,0,0,376847.8584313,376849.3864523,376850.5733362,376850.9746509,consistent
task,1,1,NaN,aSequenceTrain_1.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\aSequenceTrain_1.flac,a,3,Blue,3,Blue,1,0.504691499983892,0,0,376864.7751056,376866.3108553,376867.5103072,376868.0149987,consistent
task,1,2,NaN,ySequenceTrain_11.flac,D:\Matlab_projects\SMART\SMART_game\t1265017-v2-assets_task\ySequenceTrain_11.flac,y,2,Green,2,Green,1,0.521141999983229,0,0,376869.2673801,376870.8001042,376871.9895367,376872.5106787,consistent
